retailer,month,n_items,n_comp
hm,2024-05,72,60
hm,2024-06,67,66
hm,2024-07,85,80
hm,2024-08,95,43
hm,2024-09,94,12
hm,2024-10,71,9
hm,2024-11,73,30
hm,2024-12,74,49
hm,2025-01,68,31
hm,2025-02,75,38
hm,2025-03,74,0
hm,2025-04,71,0
hm,2025-05,72,0
hm,2025-06,72,0
hm,2025-07,63,17
hm,2025-08,69,0
hm,2025-09,72,1
hm,2025-10,80,0
hm,2025-11,65,0
hm,2025-12,73,0
hm,2026-01,19,6
uniqlo,2016-10,2,2
uniqlo,2016-11,12,12
uniqlo,2016-12,37,36
uniqlo,2017-01,25,23
uniqlo,2017-02,25,25
uniqlo,2017-03,23,23
uniqlo,2017-04,25,25
uniqlo,2017-05,25,25
uniqlo,2017-06,28,28
uniqlo,2017-07,20,20
uniqlo,2017-08,23,22
uniqlo,2017-09,26,26
uniqlo,2017-10,26,25
uniqlo,2017-11,47,47
uniqlo,2017-12,22,22
uniqlo,2018-01,28,28
uniqlo,2018-02,24,24
uniqlo,2018-03,21,21
uniqlo,2018-04,23,23
uniqlo,2018-05,26,25
uniqlo,2018-06,26,26
uniqlo,2018-07,25,24
uniqlo,2018-08,23,23
uniqlo,2018-09,28,27
uniqlo,2018-10,21,21
uniqlo,2018-11,26,26
uniqlo,2018-12,27,27
uniqlo,2019-01,29,29
uniqlo,2019-02,25,25
uniqlo,2019-03,23,23
uniqlo,2019-04,22,22
uniqlo,2019-05,24,23
uniqlo,2019-06,24,24
uniqlo,2019-07,23,21
uniqlo,2019-08,23,18
uniqlo,2019-09,23,23
uniqlo,2019-10,24,24
uniqlo,2019-11,21,20
uniqlo,2019-12,27,27
uniqlo,2020-01,24,24
uniqlo,2020-02,21,21
uniqlo,2020-03,21,20
uniqlo,2020-04,23,23
uniqlo,2020-05,26,26
uniqlo,2020-06,26,26
uniqlo,2020-07,29,29
uniqlo,2020-08,26,25
uniqlo,2020-09,30,28
uniqlo,2020-10,26,26
uniqlo,2020-11,27,27
uniqlo,2020-12,27,26
uniqlo,2021-01,29,29
uniqlo,2021-02,23,19
uniqlo,2021-03,27,26
uniqlo,2021-04,28,28
uniqlo,2021-05,24,24
uniqlo,2021-06,23,23
uniqlo,2021-07,27,26
uniqlo,2021-08,25,25
uniqlo,2021-09,26,26
uniqlo,2021-10,29,23
uniqlo,2021-11,24,24
uniqlo,2021-12,31,31
zara,2016-03,37,0
zara,2016-04,38,0
zara,2016-05,27,0
zara,2016-06,38,0
zara,2016-07,18,0
zara,2016-08,38,0
zara,2016-09,24,0
zara,2016-11,5,0
zara,2016-12,11,0
zara,2017-01,16,0
zara,2017-02,11,0
zara,2017-03,8,0
zara,2017-05,2,0
zara,2017-06,7,0
zara,2017-07,9,0
zara,2017-08,7,0
zara,2017-09,20,0
zara,2017-10,8,0
zara,2017-11,12,0
zara,2017-12,14,0
zara,2019-03,12,0
